MEturquoise	MEblue	MEbrown	MEred	MEyellow	MEgreen	MEgrey
X01_02	-0.328041128009523	-0.23800641667327	0.107600657253802	-0.414961557480746	-0.241707819211047	-0.102210389269358	0.115550836967249
X02_02	0.301519501936242	0.229057613785132	-0.120523393978202	0.225845474625174	0.248621193232416	0.0766266402002292	0.153978849223689
X03_02	-0.143402676771791	-0.354567900072598	0.498561355413839	0.153620610749972	0.286375694857043	0.517581867981931	0.000658289330117579
X04_02	0.221584172381572	0.213303598271218	-0.170241595298705	0.176129285920488	0.156997644164162	0.0284518831034944	-0.357536137951504
X05_02	0.188210621034312	0.192838605191674	-0.240541403492161	0.0469062008743409	0.0367897929190167	-0.110394099447264	-0.198490943134849
X07_02	0.0717553209715311	0.158398046855242	-0.120231638118104	-0.021466470401089	0.0213187195201331	-0.0498573305394157	-0.00246269826519282
X08_02	-0.365896767639899	-0.368102016486591	0.252151496311719	-0.166170072388295	-0.189089830935951	0.00747373148020841	-0.0146880613578496
X09_02	0.174206927804988	0.0546293689910476	0.106192556426007	0.309198088286685	0.178311293153596	0.151614081913948	-0.0236819713156125
X10_02	-0.0950049101964636	0.12858469647934	-0.300839418888233	-0.27756567220963	-0.47943837228467	-0.492568441730878	-0.0963587926824401
X02_01	0.162933345582006	0.144895124146732	-0.0116822677283121	0.0480258681359455	0.116976429095629	0.0740192452741278	-0.317732244541194
X09_01	0.0557884821983352	-0.134146111709038	0.157907930340131	0.272852064584643	0.0565400835340378	0.0908251430242815	-0.547114484991852
X14_01	-0.327026855799557	0.127192179652627	-0.364329014777818	-0.563804091149816	-0.497677092914467	-0.490332668678687	0.109959532168145
X18_01	-0.313640898686354	-0.397231129275935	0.33266409427856	0.0906020121406508	-0.0102788507119699	0.167575044292897	0.120571997677062
X20_01	0.315642603921842	0.250248557711822	-0.123642780389954	0.00653727960059381	0.224952020278046	0.114857629158849	0.282856381456457
X24_01	0.189548833922393	-0.0211327880319081	0.150354819463879	0.197288243224478	0.350510754181502	0.317322725717244	0.409115728820914
X31_01	-0.324636649400303	-0.37663182370819	0.247224397772307	0.184831080493468	-0.180028825419914	-0.0598430149311782	0.0927895901180121
X37_01	0.0117096209589185	0.131381162398151	-0.12636618458722	-0.194832056194867	-0.0498909312193301	-0.0664210754965076	-0.0447860482189864
X26_01	0.20475045579175	0.259289232474545	-0.274259610001537	-0.0730362888119967	-0.0292819022382304	-0.174720972053923	0.317370176697835
