"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"6738","3.87991718","1.0956E-4","0.25773746","0.0","4","7","false","AATK","6.75","4","0","0","0.6800092","false","0","AATK","1914","0.25"
"6739","3.66597654","1.1098E-4","0.27277861","0.0","3","7","false","CARD6","14.0","3","0","0","0.70378038","false","0","CARD6","3792","0.33333333"
"6741","2.98619738","0.00155373","0.33487405","0.18681319","14","6","false","TNIP1","45.14285714","14","0","0","0.7793114","false","0","TNIP1","49118","0.13451668"
"6743","3.81573499","1.1014E-4","0.26207271","0.0","3","7","false","B3GNTL1","10.33333333","3","0","0","0.68714056","false","0","B3GNTL1","1762","0.33333333"
"6745","3.44582471","0.00251082","0.29020629","0.04761905","7","7","false","MYADM","15.71428571","7","0","0","0.7282417","false","0","MYADM","56642","0.15"
"6747","3.33540373","0.00141151","0.29981378","0.16666667","16","6","false","ABAT","14.0625","16","0","0","0.7405107","false","0","ABAT","32922","0.10888672"
"6748","3.53623188","1.5698E-4","0.28278689","0.2","6","7","false","PLBD1","14.5","6","0","0","0.71819646","false","0","PLBD1","2644","0.2"
"6750","3.15804003","0.00135261","0.3166521","0.23391813","19","6","false","ACSS2","22.10526316","19","0","0","0.76021777","false","0","ACSS2","36894","0.10945274"
"6752","3.55831608","6.816E-5","0.28103181","0.4","5","7","false","AOC2","16.6","5","0","0","0.71574266","false","0","AOC2","1922","0.24117647"
"6754","3.58937198","5.887E-5","0.27860027","0.0","3","7","false","PDXK","21.66666667","3","0","0","0.712292","false","0","PDXK","1088","0.33879781"
"6756","2.88819876","0.00360127","0.34623656","0.29347826","24","6","false","ACOX1","36.58333333","24","0","0","0.79020014","false","0","ACOX1","118544","0.0952691"
"6758","3.16839199","0.00109714","0.31561751","0.20261438","18","6","false","GAA","18.83333333","18","0","0","0.75906756","false","0","GAA","24554","0.09455668"
"6760","2.85645273","7.4847E-4","0.35008456","0.5047619","15","6","false","GLUL","57.2","15","0","0","0.79372747","false","0","GLUL","27016","0.14283333"
"6762","2.73498965","0.00314868","0.3656321","0.44827586","30","6","false","AOC3","73.3","30","0","0","0.80722337","false","0","AOC3","122298","0.14008923"
"6764","2.9047619","0.00207375","0.3442623","0.34188034","27","6","false","TALDO1","28.22222222","27","0","0","0.78835979","false","0","TALDO1","51062","0.07874261"
"6766","4.0931677","4.927E-5","0.24430956","0.0","3","7","false","C16orf72","8.0","3","0","0","0.6563147","false","0","C16orf72","614","0.33333333"
"6768","2.79020014","0.00310428","0.35839723","0.31724138","30","6","false","TKT","39.06666667","30","0","0","0.80108887","false","0","TKT","99370","0.08183089"
"6770","3.07660455","9.0708E-4","0.32503365","0.23529412","18","6","false","MGAM","25.22222222","18","0","0","0.76926616","false","0","MGAM","22866","0.10084784"
"6772","3.65493444","1.7542E-4","0.27360272","0.06666667","6","7","false","HAGH","10.0","6","0","0","0.70500728","false","0","HAGH","4024","0.18300654"
"6774","3.24361629","5.5799E-4","0.30829787","0.08333333","9","6","false","CPVL","21.22222222","9","0","0","0.7507093","false","0","CPVL","11466","0.13176638"
"6776","3.79020014","5.1E-6","0.26383831","0.83333333","4","7","false","ACSS3","17.0","4","0","0","0.68997776","false","0","ACSS3","98","0.38636364"
"6778","3.49482402","2.5184E-4","0.28613744","0.28571429","8","7","false","ALDH3B1","15.0","8","0","0","0.72279733","false","0","ALDH3B1","5514","0.17241379"
"6780","2.87094548","0.00273155","0.34831731","0.21978022","14","6","false","ABCG1","58.14285714","14","0","0","0.79211717","false","0","ABCG1","75992","0.145"
"6781","2.14423741","0.05927157","0.46636627","0.12690826","203","5","false","GAPDH","48.42364532","203","0","0","0.87286251","false","0","GAPDH","2143048","0.04517131"
"6783","2.65769496","0.00175832","0.3762659","0.20766129","32","6","false","LRP1","56.4375","32","0","0","0.81581167","false","0","LRP1","71816","0.09323347"
"6785","2.54727398","0.00301818","0.39257654","0.33939394","66","6","false","CD68","66.66666667","66","0","0","0.82808067","false","0","CD68","158672","0.09562628"
"6787","3.13457557","9.7975E-4","0.31902246","0.21794872","13","7","false","NR1H2","26.07692308","13","0","0","0.76282494","false","0","NR1H2","27360","0.11385971"
"6789","3.39406487","5.6151E-4","0.29463196","0.21212121","12","7","false","CYP27A1","14.91666667","12","0","0","0.73399279","false","0","CYP27A1","14868","0.14768977"
"6791","2.76466529","0.00549259","0.36170744","0.14814815","27","6","false","HMGCR","37.81481481","27","0","0","0.80392608","false","0","HMGCR","161160","0.07687075"
"6793","3.17184265","5.3473E-4","0.31527415","0.14545455","11","6","false","KDM1B","22.90909091","11","0","0","0.75868415","false","0","KDM1B","11648","0.12025012"
"6795","3.74258109","6.608E-5","0.26719528","0.0","3","7","false","PTTG1IP","10.66666667","3","0","0","0.69526877","false","0","PTTG1IP","1008","0.33333333"
"6797","3.01035197","5.203E-5","0.33218707","0.33333333","7","6","false","SRA1","59.42857143","7","0","0","0.77662756","false","0","SRA1","2454","0.19631031"
"6799","3.8426501","2.08E-6","0.26023707","0.0","2","7","false","ANKRD34B","10.0","2","0","0","0.68414999","false","0","ANKRD34B","34","0.52941176"
"6801","2.09385783","0.08183129","0.47758734","0.113956","236","5","false","ACTB","47.24152542","236","0","0","0.87846024","false","0","ACTB","2849610","0.04251781"
"6803","2.28364389","0.02504315","0.43789665","0.18804348","161","5","false","TLR4","54.76397516","161","0","0","0.8573729","false","0","TLR4","1037620","0.05887932"
"6805","3.20082816","3.976E-4","0.31241915","0.23636364","11","6","false","NPC2","24.90909091","11","0","0","0.75546354","false","0","NPC2","9246","0.13915693"
"6807","2.84886128","0.00406844","0.35101744","0.20689655","30","6","false","RXRA","32.53333333","30","0","0","0.79457097","false","0","RXRA","118612","0.07548337"
"6809","2.63008972","0.00879985","0.38021517","0.1908046","30","6","false","ABCG2","60.26666667","30","0","0","0.81887892","false","0","ABCG2","223564","0.09524564"
"6810","3.20634921","7.2552E-4","0.31188119","0.10606061","12","6","false","SLC22A4","22.41666667","12","0","0","0.75485009","false","0","SLC22A4","15448","0.11809269"
"6812","3.25465839","5.6098E-4","0.30725191","0.06666667","6","6","false","SPG21","25.16666667","6","0","0","0.7494824","false","0","SPG21","10790","0.18014706"
"6814","2.63975155","0.004507","0.37882353","0.26381462","34","6","false","GLI1","60.97058824","34","0","0","0.81780538","false","0","GLI1","160996","0.09909134"
"6817","3.19116632","0.00222766","0.31336505","0.08571429","15","6","false","CTDP1","14.53333333","15","0","0","0.75653708","false","0","CTDP1","41778","0.0873706"
"6819","3.51414769","6.308E-5","0.28456402","0.2","5","7","false","SLC29A4","13.2","5","0","0","0.72065026","false","0","SLC29A4","1070","0.24150943"
"6821","2.24568668","0.03041823","0.44529809","0.15345912","160","5","false","MAPK3","50.8625","160","0","0","0.86159037","false","0","MAPK3","1146188","0.05205988"
"6823","3.05244997","0.00439099","0.3276057","0.08333333","9","6","false","DPYD","31.88888889","9","0","0","0.77195","false","0","DPYD","75808","0.12384717"
"6825","2.50310559","0.00456624","0.39950372","0.24289044","66","6","false","IGF1R","59.34848485","66","0","0","0.83298827","false","0","IGF1R","196048","0.07837957"
"6827","3.34230504","0.0011289","0.29919471","0.19444444","9","7","false","ATP7B","15.11111111","9","0","0","0.73974388","false","0","ATP7B","25034","0.13313313"
"6829","3.41062802","2.3788E-4","0.29320113","0.13333333","6","6","false","SLCO3A1","15.16666667","6","0","0","0.73215244","false","0","SLCO3A1","4066","0.19047619"
"6831","2.27467219","0.03291145","0.43962379","0.13631417","149","5","false","CDC42","46.93959732","149","0","0","0.85836976","false","0","CDC42","1162094","0.0491959"
"6833","2.97653554","0.00297405","0.33596105","0.22222222","9","6","false","CYP1B1","63.55555556","9","0","0","0.78038494","false","0","CYP1B1","84672","0.20562771"
"6835","3.12284334","0.0011114","0.32022099","0.01818182","11","6","false","ARRDC3","25.72727273","11","0","0","0.76412852","false","0","ARRDC3","27254","0.11426188"
"6837","3.28088337","6.7762E-4","0.30479596","0.17777778","10","7","false","CYP2J2","19.7","10","0","0","0.74656851","false","0","CYP2J2","18020","0.13310345"
"6839","2.43961353","0.00930193","0.40990099","0.23064295","86","6","false","BCL2L1","55.51162791","86","0","0","0.84004294","false","0","BCL2L1","357094","0.06875883"
"6841","2.48309179","0.0060875","0.40272374","0.25173141","82","6","false","PECAM1","60.13414634","82","0","0","0.83521202","false","0","PECAM1","271274","0.07881277"
"6843","2.32643202","0.01958718","0.42984278","0.19627329","161","6","false","PTPRC","54.52795031","161","0","0","0.85261866","false","0","PTPRC","860226","0.06166915"
"6845","2.33057281","0.02047311","0.42907906","0.18488427","146","6","false","STAT3","53.85616438","146","0","0","0.85215858","false","0","STAT3","848398","0.06043694"
"6847","3.40786749","2.9496E-4","0.29343864","0.28571429","7","6","false","SLC31A1","15.28571429","7","0","0","0.73245917","false","0","SLC31A1","5526","0.17405583"
"6849","3.50862664","5.047E-5","0.2850118","0.0","4","7","false","SLC19A1","15.25","4","0","0","0.72126371","false","0","SLC19A1","716","0.25909091"
"6851","2.8847481","0.00396766","0.34665072","0.23384615","26","6","false","DGAT1","24.34615385","26","0","0","0.79058354","false","0","DGAT1","122492","0.06340144"
"6853","2.41614907","0.00655793","0.41388175","0.25661588","87","5","false","ANXA5","62.18390805","87","0","0","0.8426501","false","0","ANXA5","310372","0.07445798"
"6855","3.07246377","7.7703E-4","0.3254717","0.13333333","6","6","false","MVP","50.83333333","6","0","0","0.76972625","false","0","MVP","17202","0.20053121"
"6857","2.37198068","0.01441496","0.42158859","0.18556701","98","5","false","NOTCH1","54.46938776","98","0","0","0.8475577","false","0","NOTCH1","560424","0.06217967"
"6859","2.27329193","0.03153949","0.43989071","0.15694693","130","5","false","PTEN","51.66153846","130","0","0","0.85852312","false","0","PTEN","1046772","0.05312599"
"6862","3.38164251","4.0604E-4","0.29571429","0.13888889","9","7","false","SLC22A1","15.22222222","9","0","0","0.73537305","false","0","SLC22A1","6896","0.15463918"
"6864","3.12353347","9.4002E-4","0.32015024","0.15441176","17","6","false","PHC2","19.88235294","17","0","0","0.76405184","false","0","PHC2","22490","0.09322974"
"6866","3.38509317","8.7465E-4","0.29541284","0.11111111","9","6","false","SLC2A9","12.88888889","9","0","0","0.73498965","false","0","SLC2A9","15578","0.13647343"
"6868","3.95997239","5.9405E-4","0.25252701","0.23809524","7","7","false","ABHD12B","8.28571429","7","0","0","0.67111418","false","0","ABHD12B","11124","0.19642857"
"6869","4.55900621","2.312E-5","0.21934605","0.0","2","7","false","KRT23","6.0","2","0","0","0.60455487","false","0","KRT23","268","0.5"
"6871","3.5741891","3.957E-4","0.27978374","0.32142857","8","6","false","ABHD8","13.125","8","0","0","0.71397899","false","0","ABHD8","9910","0.17166667"
"6873","3.71980676","8.927E-5","0.26883117","0.57142857","7","7","false","ABHD2","13.57142857","7","0","0","0.69779925","false","0","ABHD2","3220","0.25132275"
"6875","3.31055901","0.00120993","0.30206379","0.05555556","9","7","false","SBNO2","22.22222222","9","0","0","0.74327122","false","0","SBNO2","35948","0.15507594"
"6877","3.44030366","0.00103491","0.29067202","0.04444444","10","7","false","TM9SF2","11.1","10","0","0","0.72885515","false","0","TM9SF2","18360","0.10947368"
"6879","3.43340235","0.00154626","0.29125628","0.25","16","6","false","ABHD5","12.875","16","0","0","0.72962196","false","0","ABHD5","34944","0.13208763"
"6881","3.68599034","2.0718E-4","0.27129751","0.26666667","6","7","false","ABHD4","10.83333333","6","0","0","0.70155663","false","0","ABHD4","5048","0.22826087"
"6883","3.55624569","5.49E-5","0.28119542","0.16666667","4","7","false","ABHD14A-ACY1","16.75","4","0","0","0.7159727","false","0","ABHD14A-ACY1","1050","0.26209677"
"6884","3.11801242","0.00178115","0.32071713","0.05","16","7","false","MAEA","17.1875","16","0","0","0.76466529","false","0","MAEA","32464","0.07827103"
"6886","2.81090407","0.00293681","0.35575743","0.19117647","17","6","false","CAP1","51.52941176","17","0","0","0.79878844","false","0","CAP1","69062","0.11398693"
"6888","3.07867495","0.00105675","0.32481506","0.40350877","19","6","false","PGM2","26.0","19","0","0","0.76903612","false","0","PGM2","26858","0.11021143"
"6890","3.10559006","0.00149096","0.322","0.23809524","15","6","false","RGS19","28.86666667","15","0","0","0.76604555","false","0","RGS19","42160","0.12050209"
"6894","3.12560386","0.00206903","0.31993818","0.23188406","24","6","false","ACSL1","17.83333333","24","0","0","0.76382179","false","0","ACSL1","51556","0.08895833"
"6896","2.85852312","0.004999","0.349831","0.23809524","22","6","false","PNPLA2","39.0","22","0","0","0.79349743","false","0","PNPLA2","176274","0.09605911"
"6901","3.7805383","1.3401E-4","0.2645126","0.0","5","7","false","SCPEP1","7.6","5","0","0","0.6910513","false","0","SCPEP1","1668","0.20625"
"6904","2.95997239","0.00186928","0.33784099","0.075","16","6","false","PPT1","29.25","16","0","0","0.78222529","false","0","PPT1","48668","0.09146825"
"6906","3.44030366","4.5816E-4","0.29067202","0.07142857","8","6","false","TPD52L2","17.625","8","0","0","0.72885515","false","0","TPD52L2","10312","0.16626214"
"6908","2.81021394","0.0045128","0.35584479","0.21652422","27","6","false","PLIN3","36.33333333","27","0","0","0.79886512","false","0","PLIN3","113590","0.07924956"
"6910","2.94340925","0.00244875","0.33974209","0.31904762","21","6","false","DGAT2","26.28571429","21","0","0","0.78406564","false","0","DGAT2","96962","0.07708421"
"6913","3.79089027","1.8298E-4","0.26379028","0.23809524","7","7","false","CYP4F22","10.14285714","7","0","0","0.68990108","false","0","CYP4F22","4000","0.20408163"
"6915","3.57556936","2.2568E-4","0.27967574","0.28571429","7","6","false","PLIN4","16.57142857","7","0","0","0.71382563","false","0","PLIN4","4356","0.24458874"
"6917","3.37267081","0.00108618","0.29650092","0.21666667","16","6","false","MBOAT2","13.0","16","0","0","0.73636991","false","0","MBOAT2","17998","0.1078125"
"6920","3.46307798","1.3129E-4","0.28876046","0.42857143","7","7","false","G0S2","22.71428571","7","0","0","0.72632467","false","0","G0S2","3932","0.24423963"
"6922","3.48309179","0.00166379","0.28710125","0.33333333","9","7","false","PLIN5","17.33333333","9","0","0","0.72410091","false","0","PLIN5","57472","0.20238095"
"6924","4.19047619","0.0","0.23863636","1.0","3","7","false","PNPLA1","10.0","3","0","0","0.64550265","false","0","PNPLA1","0","0.41666667"
"6926","3.4258109","0.00120147","0.29190169","0.19047619","7","7","false","LIPN","20.57142857","7","0","0","0.73046546","false","0","LIPN","36774","0.18441558"
"6931","2.85645273","0.00151973","0.35008456","0.37321937","27","6","false","MYO9B","53.22222222","27","0","0","0.79372747","false","0","MYO9B","57218","0.12624263"
"6935","3.25672878","0.001912","0.30705658","0.0","4","6","false","ABTB1","35.0","4","0","0","0.74925236","false","0","ABTB1","39970","0.25"
"6936","3.73498965","6.714E-5","0.26773836","0.0","4","7","false","CACUL1","8.5","4","0","0","0.69611226","false","0","CACUL1","802","0.25862069"
"6938","4.05935128","2.757E-5","0.24634478","0.0","3","7","false","DNTTIP1","5.33333333","3","0","0","0.66007208","false","0","DNTTIP1","322","0.33333333"
"6941","4.16287095","3.793E-5","0.24021883","0.0","3","7","false","TMEM91","3.33333333","3","0","0","0.64856989","false","0","TMEM91","698","0.33333333"
"6943","3.59213251","1.9412E-4","0.27838617","0.41666667","9","7","false","ACAA1","14.0","9","0","0","0.71198528","false","0","ACAA1","4174","0.21367521"
"6947","3.57280883","7.109E-5","0.27989183","0.63888889","9","7","false","ELOVL5","19.77777778","9","0","0","0.71413235","false","0","ELOVL5","2140","0.25356125"
"6949","3.8847481","0.0","0.25741695","1.0","2","7","false","HSDL2","16.5","2","0","0","0.67947243","false","0","HSDL2","0","0.66"
"6951","3.64182195","4.682E-5","0.27458783","0.33333333","3","7","false","QPCT","18.33333333","3","0","0","0.70646423","false","0","QPCT","1384","0.36"
"6953","3.18288475","0.00132407","0.3141804","0.23076923","14","6","false","ACSL4","23.0","14","0","0","0.75745725","false","0","ACSL4","37150","0.12490242"
"6957","3.16977226","0.00126432","0.31548008","0.20512821","13","6","false","ACAP2","26.30769231","13","0","0","0.75891419","false","0","ACAP2","33904","0.13693113"
"6958","2.95859213","6.7053E-4","0.3379986","0.33684211","20","6","false","ARF5","34.2","20","0","0","0.78237865","false","0","ARF5","22572","0.10754717"
"6960","2.80469289","0.00235755","0.35654528","0.25189394","33","6","false","VAMP3","37.51515152","33","0","0","0.79947857","false","0","VAMP3","87110","0.08016058"
"6962","3.17667357","0.00103586","0.3147947","0.0994152","19","6","false","RAB35","17.78947368","19","0","0","0.75814738","false","0","RAB35","23248","0.08650339"
"6964","3.95031056","5.5E-6","0.25314465","0.33333333","3","7","false","RAB36","9.66666667","3","0","0","0.67218772","false","0","RAB36","84","0.4057971"
"6966","2.48654244","0.01125358","0.40216486","0.16552511","73","6","false","RAB5A","43.10958904","73","0","0","0.83482862","false","0","RAB5A","412818","0.05648216"
"6968","3.33609386","7.1768E-4","0.29975176","0.19444444","9","6","false","ARFIP1","20.88888889","9","0","0","0.74043402","false","0","ARFIP1","18222","0.17624521"
"6970","2.44582471","0.01444813","0.40886005","0.17396949","79","6","false","LAMP1","50.62025316","79","0","0","0.83935281","false","0","LAMP1","535980","0.06359328"
"6972","2.98964803","0.00104059","0.33448753","0.10457516","18","6","false","EHD1","29.94444444","18","0","0","0.778928","false","0","EHD1","25194","0.0935857"
"6974","3.53968254","0.00119851","0.28251121","0.0","6","6","false","BANP","10.83333333","6","0","0","0.71781305","false","0","BANP","32438","0.17559524"
"6976","3.47688061","1.8896E-4","0.28761413","0.25","8","6","false","TBC1D10B","15.0","8","0","0","0.72479104","false","0","TBC1D10B","5070","0.18829114"
"6978","3.19806763","2.2983E-4","0.31268882","0.14285714","8","6","false","DENND1A","31.125","8","0","0","0.75577026","false","0","DENND1A","6300","0.15932642"
"6980","2.52933057","0.00955363","0.39536153","0.17105263","57","6","false","ARF1","46.43859649","57","0","0","0.83007438","false","0","ARF1","316768","0.06456336"
"6982","3.19530711","9.0463E-4","0.31295896","0.16666667","9","6","false","TMEM33","24.33333333","9","0","0","0.75607699","false","0","TMEM33","16742","0.13333333"
"6984","2.72049689","0.00608814","0.36757991","0.13650794","36","6","false","TBL1X","36.88888889","36","0","0","0.80883368","false","0","TBL1X","172652","0.07067308"
"6989","2.85714286","9.6853E-4","0.35","0.31617647","17","6","false","SMARCD3","46.58823529","17","0","0","0.79365079","false","0","SMARCD3","36332","0.11238988"
"6993","2.78743961","0.00258088","0.35875217","0.29892473","31","5","false","G6PD","37.12903226","31","0","0","0.8013956","false","0","G6PD","73520","0.08131868"
"6995","2.99240856","5.0994E-4","0.33417897","0.31111111","10","6","false","GK","43.8","10","0","0","0.77862127","false","0","GK","15300","0.1466443"
"6997","2.88819876","0.00156048","0.34623656","0.3952381","21","6","false","PFKFB3","37.47619048","21","0","0","0.79020014","false","0","PFKFB3","47778","0.09954407"
"6999","2.86128364","0.00335879","0.34949349","0.2","26","6","false","CD36","39.57692308","26","0","0","0.79319071","false","0","CD36","110716","0.09504438"
"7006","2.64389234","0.00354294","0.37823023","0.23616734","39","6","false","SP1","56.82051282","39","0","0","0.8173453","false","0","SP1","139932","0.0936786"
"7008","2.89993099","0.00185029","0.34483579","0.15270936","29","6","false","NCOA1","26.93103448","29","0","0","0.78889656","false","0","NCOA1","55318","0.07013595"
"7020","3.0310559","4.608E-4","0.32991803","0.19444444","9","6","false","MARK4","39.55555556","9","0","0","0.77432712","false","0","MARK4","13386","0.1380117"
"7022","3.48654244","0.00109585","0.2868171","0.06666667","10","7","false","ZFAND3","10.9","10","0","0","0.72371751","false","0","ZFAND3","18068","0.11685393"
"7026","2.90269151","0.00190534","0.34450785","0.23809524","22","6","false","TCF7L2","36.72727273","22","0","0","0.78858983","false","0","TCF7L2","52936","0.10262287"
"7030","3.52518979","2.7442E-4","0.28367267","0.37777778","10","7","false","AGPAT1","15.5","10","0","0","0.71942336","false","0","AGPAT1","6160","0.2012987"
"7038","2.62732919","0.00760448","0.38061466","0.1959596","45","6","false","MFN2","44.35555556","45","0","0","0.81918565","false","0","MFN2","236540","0.071745"
"7040","3.59144237","6.273E-4","0.27843966","0.25757576","12","7","false","LPCAT3","12.41666667","12","0","0","0.71206196","false","0","LPCAT3","8688","0.15506329"
"7046","3.72532781","1.727E-5","0.26843275","0.0","2","7","false","FUNDC2","23.0","2","0","0","0.6971858","false","0","FUNDC2","628","0.5"
"7050","3.06901311","7.1915E-4","0.32583764","0.46153846","14","6","false","SH3GLB1","42.21428571","14","0","0","0.77010965","false","0","SH3GLB1","22874","0.16470588"
"7052","3.32988268","1.352E-5","0.30031088","0.0","2","7","false","SLC25A11","54.0","2","0","0","0.74112415","false","0","SLC25A11","620","0.5047619"
"7055","2.72049689","0.00307174","0.36757991","0.31907308","34","6","false","HK2","45.35294118","34","0","0","0.80883368","false","0","HK2","114096","0.08584002"
"7057","3.50241546","1.8625E-4","0.28551724","0.2","5","7","false","BCAT1","19.2","5","0","0","0.72195384","false","0","BCAT1","2960","0.25405405"
"7060","2.60938578","0.0071251","0.38323195","0.32868757","42","6","false","SOD2","64.11904762","42","0","0","0.82117936","false","0","SOD2","236492","0.09857143"
"7065","2.61766736","0.00944439","0.38201951","0.20918367","49","6","false","PKM","44.04081633","49","0","0","0.82025918","false","0","PKM","297256","0.06951027"
"7071","2.68391994","0.00244545","0.37258935","0.39015152","33","6","false","TFEB","53.24242424","33","0","0","0.81289778","false","0","TFEB","91216","0.09396081"
"7073","2.57556936","0.00532693","0.38826367","0.23367003","55","5","false","GABARAPL2","42.96363636","55","0","0","0.82493674","false","0","GABARAPL2","207738","0.06438599"
"7075","2.68391994","0.00153236","0.37258935","0.30434783","24","6","false","GRN","65.375","24","0","0","0.81289778","false","0","GRN","52306","0.11441915"
"7077","2.89440994","0.00112197","0.34549356","0.45","16","6","false","SLC2A3","50.4375","16","0","0","0.78951001","false","0","SLC2A3","33908","0.13634824"
"7079","2.91235335","5.5348E-4","0.34336493","0.37362637","14","6","false","HDAC7","45.92857143","14","0","0","0.78751629","false","0","HDAC7","23888","0.12495134"
"7081","2.51069703","0.00495582","0.39829577","0.28504505","75","6","false","TNFRSF1A","61.12","75","0","0","0.83214477","false","0","TNFRSF1A","223296","0.08248313"
"7083","2.54727398","0.00482486","0.39257654","0.20718816","44","5","false","NGFR","62.02272727","44","0","0","0.82808067","false","0","NGFR","160172","0.08659218"
"7085","2.72118703","0.00167672","0.36748669","0.30461538","26","6","false","ITGB4","66.88461538","26","0","0","0.808757","false","0","ITGB4","63216","0.12199409"
"7087","2.42857143","0.00858186","0.41176471","0.23628219","95","6","false","NFKBIA","58.37894737","95","0","0","0.84126984","false","0","NFKBIA","381094","0.07145526"
"7090","2.65355418","0.00634886","0.37685306","0.22534014","49","6","false","CORO1A","46.32653061","49","0","0","0.81627176","false","0","CORO1A","174864","0.07740086"
"7092","2.5610766","0.00387461","0.39046079","0.35102041","50","5","false","TGFB1","69.5","50","0","0","0.82654704","false","0","TGFB1","150816","0.09939914"
"7094","2.83091787","0.00273942","0.35324232","0.23333333","16","6","false","NAMPT","67.3125","16","0","0","0.79656468","false","0","NAMPT","92952","0.15381307"
"7096","2.76880607","0.00417409","0.3611665","0.23320158","23","6","false","PPIF","56.17391304","23","0","0","0.80346599","false","0","PPIF","132858","0.11576199"
"7098","2.86749482","0.00145133","0.34873646","0.30994152","19","6","false","HDAC5","43.73684211","19","0","0","0.79250058","false","0","HDAC5","53526","0.10799896"
"7100","2.45341615","0.01242108","0.40759494","0.24045864","111","6","false","SPI1","55.59459459","111","0","0","0.83850932","false","0","SPI1","481862","0.0726609"
"7104","2.73706004","7.8329E-4","0.36535552","0.37433155","34","6","false","ARPC3","53.64705882","34","0","0","0.80699333","false","0","ARPC3","35156","0.10122087"
"7107","2.39406487","0.01478208","0.41769963","0.19371069","106","5","false","MAPK14","56.48113208","106","0","0","0.8451039","false","0","MAPK14","587750","0.06675142"
"7109","2.85162181","0.00252065","0.35067764","0.23333333","16","6","false","MAPRE3","49.5625","16","0","0","0.79426424","false","0","MAPRE3","65056","0.11911232"
"7111","2.75293306","0.00166278","0.36324893","0.30681818","33","5","false","ENO1","44.06060606","33","0","0","0.80522966","false","0","ENO1","52208","0.09028685"
"7114","2.53485162","0.00392175","0.39450041","0.31191172","79","6","false","SELL","65.07594937","79","0","0","0.82946093","false","0","SELL","194932","0.09304431"
"7116","2.58868185","0.00700603","0.38629699","0.19675325","56","5","false","CTSD","45.32142857","56","0","0","0.82347979","false","0","CTSD","245332","0.07012937"
"7118","2.68944099","0.00138886","0.37182448","0.42042042","37","6","false","TNFSF10","70.13513514","37","0","0","0.81228433","false","0","TNFSF10","63398","0.12321284"
"7120","2.67080745","0.00158558","0.3744186","0.38010204","49","6","false","IRF1","64.46938776","49","0","0","0.81435473","false","0","IRF1","85232","0.1109628"
"7122","2.61007591","0.00514203","0.38313062","0.25346901","47","6","false","VASP","56.0","47","0","0","0.82110268","false","0","VASP","166970","0.0876409"
"7124","2.73706004","0.00120473","0.36535552","0.35076923","26","6","false","TUBA4A","61.69230769","26","0","0","0.80699333","false","0","TUBA4A","58888","0.1181845"
"7126","2.36783989","0.0141975","0.42232585","0.20966421","111","6","false","RAC2","56.01801802","111","0","0","0.84801779","false","0","RAC2","604342","0.06422018"
"7129","2.4989648","0.00668399","0.4001657","0.24503968","64","6","false","RAF1","58.15625","64","0","0","0.83344836","false","0","RAF1","240888","0.07670267"
"7131","2.6342305","0.00453934","0.3796175","0.20242915","39","5","false","TSG101","44.8974359","39","0","0","0.81841883","false","0","TSG101","153156","0.07339796"
"7133","2.61007591","9.2776E-4","0.38313062","0.40336134","35","6","false","JAG1","68.68571429","35","0","0","0.82110268","false","0","JAG1","51072","0.10502403"
"7135","2.60731539","0.0031877","0.38353626","0.31260504","35","6","false","NOTCH2","60.25714286","35","0","0","0.8214094","false","0","NOTCH2","116664","0.0925609"
"7137","3.00414079","0.00593411","0.33287388","0.14285714","14","6","false","SLC40A1","25.64285714","14","0","0","0.77731769","false","0","SLC40A1","107318","0.08673469"
"7139","2.73291925","7.136E-5","0.36590909","0.64502165","22","6","false","CYBA","93.77272727","22","0","0","0.80745342","false","0","CYBA","5614","0.17626452"
"7142","2.73636991","0.00280886","0.36544767","0.30333333","25","6","false","RAB2A","53.72","25","0","0","0.80707001","false","0","RAB2A","95552","0.10342967"
"7144","2.78674948","8.5984E-4","0.35884101","0.45059289","23","6","false","TIMP2","63.04347826","23","0","0","0.80147228","false","0","TIMP2","32618","0.13291139"
"7146","2.83712905","4.8928E-4","0.35246899","0.46153846","13","6","false","E2F3","76.30769231","13","0","0","0.79587455","false","0","E2F3","16568","0.17628205"
"7148","2.81021394","0.00170239","0.35584479","0.47035573","23","6","false","ARPC1A","55.13043478","23","0","0","0.79886512","false","0","ARPC1A","54050","0.11711378"
"7151","2.83712905","5.6528E-4","0.35246899","0.23076923","13","6","false","SCARF1","66.84615385","13","0","0","0.79587455","false","0","SCARF1","21602","0.15209392"
"7153","2.91442374","7.6663E-4","0.343121","0.30909091","11","6","false","CNN2","61.0","11","0","0","0.78728625","false","0","CNN2","22786","0.16683317"
"7155","2.73982057","9.5513E-4","0.36498741","0.23376623","22","6","false","SLC9A1","68.22727273","22","0","0","0.8066866","false","0","SLC9A1","38680","0.13036677"
"7157","2.44720497","0.008002","0.40862944","0.19992595","74","5","false","CBL","57.51351351","74","0","0","0.83919945","false","0","CBL","320684","0.07141178"
"7159","2.73360939","0.00281852","0.36581671","0.24516129","31","6","false","HDAC4","54.16129032","31","0","0","0.80737673","false","0","HDAC4","103252","0.10304147"
