"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"10100","3.63354037","0.00101493","0.27521368","0.07142857","8","7","false","TMEM11","11.625","8","0","0","0.7073844","false","0","TMEM11","20068","0.17943548"
"10107","3.62249827","6.332E-5","0.27605258","0.16666667","4","7","false","STEAP4","16.5","4","0","0","0.7086113","false","0","STEAP4","1232","0.27118644"
"10114","3.3547274","3.3086E-4","0.29808681","0.22222222","9","6","false","STEAP3","13.88888889","9","0","0","0.73836362","false","0","STEAP3","6130","0.13531353"
"10120","3.29330573","3.3644E-4","0.30364627","0.1","5","6","false","BST1","38.4","5","0","0","0.74518825","false","0","BST1","9554","0.21355932"
"10125","3.62042788","1.4212E-4","0.27621045","0.26666667","6","6","false","NMNAT1","11.33333333","6","0","0","0.70884135","false","0","NMNAT1","1696","0.20679012"
"10127","4.31953071","0.0014036","0.23150663","0.0","4","8","false","BTBD10","2.25","4","0","0","0.63116325","false","0","BTBD10","31262","0.25"
"10128","3.68668047","8.8442E-4","0.27124672","0.0","3","7","false","SHKBP1","18.33333333","3","0","0","0.70147995","false","0","SHKBP1","23790","0.33333333"
"10130","5.31884058","0.0","0.1880109","0.0","1","9","false","KCTD21","4.0","1","0","0","0.52012882","false","0","KCTD21","0","0.0"
"10132","3.65424431","0.00102762","0.27365439","0.0","2","7","false","KCTD12","28.0","2","0","0","0.70508397","false","0","KCTD12","23242","0.5"
"10134","3.65493444","8.9096E-4","0.27360272","0.0","3","7","false","CPPED1","16.0","3","0","0","0.70500728","false","0","CPPED1","15732","0.34090909"
"10136","4.33057281","0.00141004","0.23091633","0.0","3","7","false","BTBD19","5.0","3","0","0","0.62993635","false","0","BTBD19","30920","0.33333333"
"10137","3.88060732","7.6676E-4","0.25769162","0.42857143","7","7","false","KCNH3","9.85714286","7","0","0","0.67993252","false","0","KCNH3","14342","0.23928571"
"10139","5.32988268","0.0","0.18762139","0.0","1","8","false","PCIF1","3.0","1","0","0","0.51890192","false","0","PCIF1","0","0.0"
"10146","3.5300207","1.0912E-4","0.28328446","0.0","4","7","false","KLF7","19.75","4","0","0","0.71888659","false","0","KLF7","2324","0.25684932"
"10149","3.26293996","4.7116E-4","0.30647208","0.3","5","6","false","IER2","36.0","5","0","0","0.74856223","false","0","IER2","10612","0.22389937"
"10151","3.82056591","3.8532E-4","0.26174133","0.06666667","6","7","false","C15orf39","5.5","6","0","0","0.68660379","false","0","C15orf39","6808","0.17901235"
"10152","4.35058661","4.561E-5","0.22985406","0.0","3","7","false","ZSWIM6","4.66666667","3","0","0","0.6277126","false","0","ZSWIM6","356","0.33333333"
"10154","3.58247067","2.5197E-4","0.27913697","0.16666667","4","7","false","DENND3","16.0","4","0","0","0.71305881","false","0","DENND3","6522","0.25833333"
"10156","3.70669427","1.0266E-4","0.26978216","0.0","4","7","false","MOB3A","8.5","4","0","0","0.69925619","false","0","MOB3A","1686","0.25"
"10158","3.8536922","1.7533E-4","0.2594914","0.2","5","6","false","TMUB2","9.0","5","0","0","0.68292309","false","0","TMUB2","2074","0.22"
"10162","3.42512077","0.0","0.29196051","1.0","5","6","false","C16orf54","21.8","5","0","0","0.73054214","false","0","C16orf54","0","0.24494382"
"10164","2.93443754","0.00582427","0.34078081","0.10507246","24","6","false","CDIPT","20.125","24","0","0","0.7850625","false","0","CDIPT","119336","0.06010101"
"10166","2.84886128","0.00343396","0.35101744","0.14624506","23","6","false","PPP4C","28.56521739","23","0","0","0.79457097","false","0","PPP4C","74870","0.07076087"
"10168","3.37612146","9.483E-5","0.29619787","0.66666667","6","6","false","YPEL3","20.66666667","6","0","0","0.7359865","false","0","YPEL3","1332","0.19902913"
"10170","3.3347136","1.1348E-4","0.29987583","0.47619048","7","6","false","GDPD3","20.71428571","7","0","0","0.74058738","false","0","GDPD3","2232","0.17919799"
"10172","3.436853","5.7991E-4","0.29096386","0.5","4","7","false","IL1RL2","39.75","4","0","0","0.72923856","false","0","IL1RL2","16854","0.33193277"
"10174","3.73360939","3.3292E-4","0.26783734","0.0","4","7","false","DNAH17","7.25","4","0","0","0.69626562","false","0","DNAH17","7198","0.25"
"10176","3.66942719","0.0","0.2725221","1.0","2","7","false","C1RL","38.0","2","0","0","0.70339698","false","0","C1RL","0","0.6031746"
"10179","4.11249137","6.551E-5","0.2431616","0.0","2","7","false","C1orf198","7.5","2","0","0","0.65416763","false","0","C1orf198","1210","0.5"
"10180","4.04554865","6.76E-5","0.24718526","0.0","2","7","false","LGALSL","7.5","2","0","0","0.66160571","false","0","LGALSL","1876","0.5"
"10182","3.13112491","0.00161387","0.31937404","0.38461538","13","6","false","STX10","29.53846154","13","0","0","0.76320834","false","0","STX10","38686","0.13236313"
"10184","4.53623188","0.0","0.22044728","0.0","1","8","false","C3orf62","6.0","1","0","0","0.60708535","false","0","C3orf62","0","0.0"
"10190","2.90545204","1.3072E-4","0.34418052","0.57846154","26","6","false","CD93","74.11538462","26","0","0","0.78828311","false","0","CD93","9152","0.18575284"
"10203","2.88129745","0.00177609","0.34706587","0.48188406","24","6","false","CSF2RA","69.04166667","24","0","0","0.79096695","false","0","CSF2RA","73182","0.16235294"
"10212","2.95169082","0.00188998","0.33878887","0.42857143","28","6","false","FCN1","53.53571429","28","0","0","0.78314546","false","0","FCN1","72692","0.1476914"
"10214","2.87301587","0.00116624","0.3480663","0.50623886","34","6","false","MPEG1","66.44117647","34","0","0","0.79188713","false","0","MPEG1","51206","0.15649279"
