logFC	AveExpr	t	P.Value	adj.P.Val	B	change
MX1	0.512883893386632	6.87733661841873	6.10389617486323	4.20981798607475e-05	0.274991725126104	2.05397566414495	Stable
VNN2	-0.438661660459593	8.51895269882641	-5.70910128397804	7.95007862122378e-05	0.274991725126104	1.68285084937582	Stable
MME	-0.4318568725448	8.45273060923835	-5.34611418023896	0.000145407653009515	0.274991725126104	1.1697528071168	Stable
OAS3	0.500931809157781	7.12719671510432	5.31860338379682	0.000152330177480829	0.274991725126104	1.06442945533834	Stable
MID1IP1	-0.659675023251027	6.56792592931018	-5.03296200083111	0.000248418482182337	0.274991725126104	0.582512213008322	Stable
ABCG1	-0.791044148648123	5.49738785589449	-5.32966049543596	0.000149507242263973	0.274991725126104	0.537762030209061	Stable
MYLIP	-0.486313739979234	6.27387432625317	-5.03388177157706	0.000248023144044046	0.274991725126104	0.526220106098895	Stable
KLHDC3	-0.590571734162377	5.47506608490707	-5.14678072153535	0.000204158731904666	0.274991725126104	0.405678994868746	Stable
MIR23AHG	-0.445389426953179	7.39892195387165	-4.79479189136363	0.000376660828447995	0.304979113110627	0.318899563794621	Stable
ACAP3	-0.689012454171309	5.58209115506451	-5.02327873745598	0.000252620753918029	0.274991725126104	0.284079675989646	Stable
WARS1	0.415836132590725	6.9599544556539	4.68833332973307	0.000454776047819851	0.304979113110627	0.134641288168299	Stable
HEMGN	0.410690918791089	6.38688918619112	4.66601688736743	0.000473189359833316	0.304979113110627	0.0250601138812181	Stable
LRCH4	-0.417376949253519	7.53448467644875	-4.56191523154708	0.000569907356173901	0.304979113110627	-0.0312560570291565	Stable
RAD50	0.634106500565854	5.40764024669226	4.684115713768	0.000458198001003746	0.304979113110627	-0.163001587487897	Stable
SREBF1	-0.48712998093866	5.85141043881351	-4.55085390079683	0.000581327523466707	0.304979113110627	-0.24051555977376	Stable
LILRA2	-0.382078725780385	7.24789052911951	-4.42527818358568	0.000728947707902647	0.304979113110627	-0.256936498669256	Stable
RPL10	-0.377702795920179	9.97898729870297	-4.38110887684994	0.000789691920546093	0.304979113110627	-0.294718810137456	Stable
PKD1P3	-0.492673921127653	6.36752100866518	-4.39665210369073	0.000767739373040563	0.304979113110627	-0.354852428166886	Stable
LAT2	-0.449711961453017	6.73919515420391	-4.37757225039443	0.0007947770423359	0.304979113110627	-0.360568050608975	Stable
SCARNA10	0.787697089750723	6.64212031255364	4.37724662583208	0.000795246941311869	0.304979113110627	-0.364730687328709	Stable
DLEU2	0.496763000155157	5.94034326185522	4.43549623981721	0.000715597757555222	0.304979113110627	-0.376729143170577	Stable
RPS6KB2	-0.450618018140942	5.78339898178049	-4.45057558963111	0.000696357619844808	0.304979113110627	-0.388443004438531	Stable
HLA-F	-0.376742393761884	7.78449219987514	-4.30327666704022	0.00090981024117374	0.304979113110627	-0.430464024025289	Stable
CSNK1G2	-0.439446037059461	7.5411674884644	-4.28825782858152	0.000935085383231109	0.304979113110627	-0.459022215810093	Stable
NISCH	-0.388300275456116	7.07205781304713	-4.28913982289295	0.000933581205535452	0.304979113110627	-0.468349524131774	Stable
