logFC	AveExpr	t	P.Value	adj.P.Val	B	change
BASP1	-1.34753999932049	7.25261425591873	-16.5096194568502	6.12087448644751e-10	2.55474142376444e-06	13.0202729536251	Down
VNN2	-1.23838122633577	8.51895269882641	-16.2478008723841	7.43060569695108e-10	2.55474142376444e-06	12.9457880109689	Down
ACSL1	-1.56765975857074	9.04087463618717	-16.1789513341287	7.82303181718213e-10	2.55474142376444e-06	12.9160536368219	Down
PYGL	-1.05743528051526	7.60889218596108	-14.3569304040316	3.3010841704062e-09	8.0851804043674e-06	11.5497854725047	Down
MME	-1.07099514562073	8.45273060923835	-13.3436466382224	7.90421010156685e-09	1.3282143645459e-05	10.7626695616565	Down
DGAT2	-1.25671804268737	7.24738298902163	-13.311430329145	8.13441480787528e-09	1.3282143645459e-05	10.6850184024351	Down
KCNJ15	-1.14317276962761	7.71265790370822	-12.5684560938336	1.60480001183477e-08	1.70206113663096e-05	10.0765296790524	Down
AQP9	-1.20245663806238	8.89627708655949	-12.5116792343109	1.69273248212634e-08	1.70206113663096e-05	10.0435970476003	Down
PROK2	-2.06762608037104	6.03923460264126	-12.7100519639927	1.40615991651528e-08	1.70206113663096e-05	9.91782010129737	Down
PADI2	-0.993732300732822	8.01961782309759	-12.3771311857737	1.92244133795492e-08	1.70206113663096e-05	9.91208190029902	Down
PFKFB3	-1.441778003596	6.71048200021864	-12.3767276574887	1.92317860107033e-08	1.70206113663096e-05	9.83850413459235	Down
ADGRG3	-1.45295546996354	6.71081990513053	-12.2831969399403	2.10253182050384e-08	1.70206113663096e-05	9.75929361370391	Down
WDFY3	-0.874340554022108	8.47308225280355	-12.1304436238448	2.43517706433905e-08	1.70206113663096e-05	9.6912505355398	Down
BCL3	-1.46845088850815	6.37662145139774	-12.1587358074091	2.36954239635457e-08	1.70206113663096e-05	9.58967938144167	Down
ALPL	-1.57339056424094	7.60740269325316	-12.0233464697555	2.70186126057117e-08	1.70206113663096e-05	9.5758170414468	Down
PPP1R3B	-1.13106241735144	7.12163826446132	-11.8827176481309	3.10061869719692e-08	1.70206113663096e-05	9.42743495547647	Down
GCA	-0.948630577322867	8.23048718931353	-11.829692931061	3.26698035721405e-08	1.70206113663096e-05	9.40452104945989	Down
DYSF	-1.38486046028539	8.5874857931401	-11.8192297339273	3.30092493579547e-08	1.70206113663096e-05	9.39743479622768	Down
LINC01002	-1.22564563899887	6.65503475446409	-11.8691195413787	3.14239720442699e-08	1.70206113663096e-05	9.38275310849059	Down
ADGRE3	-0.888459071365219	7.43729704581304	-11.6726109028766	3.81853429794276e-08	1.87050902584726e-05	9.24140886037961	Down
TNFRSF10C	-0.913682011494449	8.75932147022779	-11.5297376338698	4.4074647655178e-08	2.05618725275133e-05	9.11784411222705	Down
SULT1B1	-0.861876296622182	7.39783476173072	-11.4637748595472	4.71158692261782e-08	2.06640958003322e-05	9.03824834576317	Down
FCGR2A	-1.01110675981779	8.98652200368691	-11.4092169847774	4.98013247642617e-08	2.06640958003322e-05	8.99946726860043	Down
FAM157A	-1.41494569068789	7.71214857485423	-11.3664129238654	5.20230306245562e-08	2.06640958003322e-05	8.94762794494978	Down
STEAP4	-0.928653551831976	8.69257223353477	-11.2942726808482	5.60113967727501e-08	2.06640958003322e-05	8.88400287014277	Down
