"gene_name","T1_value","T2_value","T3_value","change_type"
"BASP1",0,1.20119277655146,-0.146347222769028,"Up"
"WDFY3",0,1.01889590699247,0.144555352970366,"Up"
"ACSL1",0,1.32954223143537,-0.238117527135373,"Up"
"PYGL",0,0.946358277266823,-0.111077003248434,"Up"
"PADI2",0,0.962087366837256,-0.0316449338955662,"Up"
"KCNJ15",0,1.07983753598923,-0.0633352336383775,"Up"
"ALPL",0,1.4940507410247,-0.0793398232162392,"Up"
"ADGRG3",0,1.32971730890665,-0.123238161056896,"Up"
"LINC01002",0,1.15292582644546,-0.072719812553407,"Up"
"BCL6",0,1.15069982836085,-0.0302857831807994,"Up"
"PLXNC1",0,0.901952881156372,0.0531667429460381,"Up"
"TNFRSF10C",0,0.859557829165043,-0.0541241823294065,"Up"
"PFKFB3",0,1.22367781890473,-0.218100184691272,"Up"
"VNN2",0,0.799719565876178,-0.438661660459593,"Up"
"AQP9",0,1.0112930026797,-0.191163635382672,"Up"
"NIBAN1",0,0.969746954946769,0.0751632511846996,"Up"
"DYSF",0,1.21266354346634,-0.172196916819047,"Up"
"PPP1R3B",0,0.978736324504863,-0.15232609284658,"Up"
"FCGR2A",0,0.915557522855201,-0.0955492369625848,"Up"
"CR1",0,1.2128010695674,-0.0748414234595298,"Up"
"SOD2",0,0.814547421440526,0.00462317036486404,"Up"
"NAMPT",0,0.963336729664389,0.0655953752949117,"Up"
"ADGRE3",0,0.771703968074115,-0.116755103291104,"Up"
"CREB5",0,0.945722439309062,0.0578670531610896,"Up"
"ECE1",0,0.909528691252892,0.0150741816830529,"Up"
"MGAM",0,1.22844893929638,-0.0227851755167858,"Up"
"MXD1",0,0.813190347293915,0.0209513554634455,"Up"
"STEAP4",0,0.818783727119076,-0.1098698247129,"Up"
"SERPINA1",0,0.833482030320893,0.0541876774472421,"Up"
"RNF24",0,0.880727188834625,-0.13295703175474,"Up"
"HSPA1A",0,0.899961923903829,0.0825281506312665,"Up"
"DGAT2",0,0.882714689331165,-0.374003353356202,"Up"
"PROK2",0,1.38217503852216,-0.685451041848879,"Up"
"SOCS3",0,1.36517893237959,-0.358673455507713,"Up"
"KREMEN1",0,1.56311699890914,-0.42278069121812,"Up"
"SULT1B1",0,0.700515138208942,-0.161361158413239,"Up"
"FAM157A",0,1.15308212906244,-0.261863561625454,"Up"
"FAM157C",0,1.07889128182919,-0.111444189157397,"Up"
"LYN",0,0.654937255104201,-0.00356786294002376,"Up"
"GCA",0,0.737856155373509,-0.210774421949359,"Up"
"LILRB3",0,0.865995154160613,-0.13772466957865,"Up"
"BCL3",0,1.05898690557001,-0.409463982938136,"Up"
"IFITM3",0,0.914544822488875,0.156495837476745,"Up"
"S100A9",0,0.985455720891864,-0.119758719131756,"Up"
