logFC	AveExpr	t	P.Value	adj.P.Val	B	change
MCEMP1	-2.11654263666827	3.48763059447564	-20.0316101208244	9.47058649175814e-09	0.000142267150279191	9.80587120840391	Down
RPL39	1.05579175367547	6.1129541405159	17.8757381723925	2.56864167302915e-08	0.000192930676061219	9.66480156921894	Up
RPS17	0.880029839836491	7.19358278619267	15.3998032795454	9.40345041472708e-08	0.000398023709407105	8.50750356533815	Up
STXBP5	-0.807272352953967	5.99753540107395	-14.8017341426275	1.32480265413096e-07	0.000398023709407105	8.22386884072764	Down
KLRB1	1.0770346014278	4.65237618614326	14.8530683323558	1.28574880580819e-07	0.000398023709407105	8.13804930952763	Up
RNF141	-1.03044241559591	6.08313563828699	-14.0154909317014	2.12121257991962e-07	0.000415833707702517	7.78574741822031	Down
CHI3L1	-1.51759687228478	7.25354671559223	-13.716477022139	2.55340212251627e-07	0.000415833707702517	7.58641505152091	Down
FGD4	-0.897249667294582	4.77077496347455	-13.4935373149329	2.93913997886035e-07	0.000415833707702517	7.45122308838438	Down
DIP2B	-0.803668064842203	6.53102293886595	-13.4331367711488	3.05445239307435e-07	0.000415833707702517	7.44031241812937	Down
TET2	-0.947525589243421	7.21679360768451	-13.4255869924624	3.0692145363941e-07	0.000415833707702517	7.41853357792155	Down
CD302	-0.828187038794753	6.85747494652441	-13.2612667716206	3.41090034308162e-07	0.000415833707702517	7.32909374885465	Down
KLF7	-0.777619479124252	6.37314781472187	-13.188389849708	3.57574257519998e-07	0.000415833707702517	7.2931271237971	Down
RPS15A	0.957544753161383	7.02186975001988	13.1347167680375	3.70278363734839e-07	0.000415833707702517	7.25061776360157	Up
IL4R	-1.0366509708342	7.94589668836543	-13.0140689854773	4.00697845866664e-07	0.000415833707702517	7.14317846138265	Down
ACSL4	-0.873760160659028	6.45778664716966	-12.8486937452099	4.46981785593762e-07	0.000415833707702517	7.07940182166127	Down
RPS27	0.838635700445074	8.53642541937323	12.9261646049956	4.2460226668402e-07	0.000415833707702517	7.07125344793601	Up
MPZL3	-1.04248700087632	6.3127474665605	-12.7714942491185	4.70588006320249e-07	0.000415833707702517	7.03062038265509	Down
RNF13	-0.780804288261125	6.62153548005539	-12.4362156734253	5.90407561128905e-07	0.00044843474122787	6.81163020767645	Down
GPAT3	-1.37875598621639	4.96284427794962	-12.3289563559447	6.35583631250719e-07	0.00044843474122787	6.72998537419856	Down
KREMEN1	-2.09419054237855	4.77110764214671	-12.3228100022075	6.38285819595991e-07	0.00044843474122787	6.7178143449645	Down
RHOB	-0.876994702524946	7.04255685664883	-12.2991790734916	6.48793875325934e-07	0.00044843474122787	6.71568423802096	Down
IRAK3	-0.916704403852231	6.43883816724068	-12.2220104013317	6.8446353261236e-07	0.00044843474122787	6.66977282463204	Down
PXK	-0.683840694277872	5.55402594962144	-12.2101359737396	6.90142289514658e-07	0.00044843474122787	6.66298498600206	Down
SULT1B1	-1.3923071790403	6.5265434228198	-12.1016404741218	7.44510026856104e-07	0.00044843474122787	6.5868004676142	Down
CHD7	-0.762843405224295	5.48944646680087	-11.9849691771458	8.08314637568747e-07	0.00044843474122787	6.50855000950823	Down
OXER1	-1.07204411872585	4.17779718344656	-11.9791576155076	8.11647246595516e-07	0.00044843474122787	6.4452522942434	Down
TRIM25	-1.06340510011633	7.953866334092	-11.9071158091574	8.54245085547515e-07	0.00044843474122787	6.43355297257243	Down
SLC8A1	-1.08706295721959	5.13627745712765	-11.7470466699298	9.5801974850535e-07	0.00044843474122787	6.34108925900081	Down
RPL9	1.01293970699624	7.16350216596544	11.7235947878274	9.7436170403943e-07	0.00044843474122787	6.32376939927327	Up
SGK1	-0.871187317965144	6.35773072244392	-11.6671593900128	1.01496470061743e-06	0.00044843474122787	6.28792612884162	Down
HIF1A	-0.827089150743939	6.78225577026148	-11.6219961284188	1.04880604136897e-06	0.00044843474122787	6.2544319497555	Down
C16orf72	-0.835872681026848	7.60743248860403	-11.6065661310816	1.0606521506069e-06	0.00044843474122787	6.23524151882412	Down
GTF2IP4	-0.933599327439188	7.15425298248367	-11.5416993555113	1.11209540750692e-06	0.00044843474122787	6.1947367316233	Down
KIAA0232	-0.811434434773497	6.7821690458133	-11.5265525574108	1.12450089370783e-06	0.00044843474122787	6.1864320988348	Down
HRH2	-1.44426929644035	7.59189360220732	-11.4689047798349	1.17313314197719e-06	0.00044843474122787	6.13601375553652	Down
ROPN1L	-1.52750696704451	2.9509184875231	-11.9399588235332	8.34526266373133e-07	0.00044843474122787	6.13468276594881	Down
DSE	-0.770053979814303	4.9104502344992	-11.3026929295951	1.32685599386806e-06	0.00044843474122787	6.02288544665361	Down
FAM157C	-1.60218143858251	5.99623472940842	-11.2944980059116	1.33499091121181e-06	0.00044843474122787	6.01905854438913	Down
GAB1	-0.866399772561374	4.41604490337428	-11.2854374725567	1.34404928418173e-06	0.00044843474122787	5.99817363390157	Down
PPP1R3D	-0.851913056277778	5.08095748458202	-11.2550271024146	1.3749522994695e-06	0.00044843474122787	5.98913892808171	Down
