"gene_name","T1_value","T2_value","T3_value","change_type"
"MCEMP1",0,2.13574085520983,0.019198218541558,"Up"
"CD302",0,0.868728215798527,0.0405411770037736,"Up"
"PXK",0,0.762573824528193,0.0787331302503214,"Up"
"RPL39",0,-0.77168603393585,0.284105719739618,"Down"
"IRAK3",0,0.976473991290379,0.0597695874381481,"Up"
"KREMEN1",0,2.22494764175306,0.130757099374512,"Up"
"TET2",0,0.905657347166653,-0.0418682420767675,"Up"
"FGD4",0,0.826137031025635,-0.0711126362689471,"Up"
"FCER1G",0,1.33893124115833,0.232462346677091,"Up"
"RPS17",0,-0.694476142689917,0.185553697146575,"Down"
"IL4R",0,0.963096026286975,-0.0735549445472286,"Up"
"DSE",0,0.804130952649821,0.0340769728355177,"Up"
"MPZL3",0,0.923189320124954,-0.119297680751362,"Up"
"PLBD1",0,1.48205303497866,0.126421495324162,"Up"
"TRIM25",0,1.00617665898719,-0.0572284411291406,"Up"
"HRH2",0,1.41073242670425,-0.033536869736106,"Up"
"SULT1B1",0,1.27739414910229,-0.114913029938012,"Up"
"SRPK1",0,1.0810072677569,-0.0157159124088109,"Up"
"HPSE",0,1.00686719215896,0.028021291800659,"Up"
"SLC8A1",0,1.00731021964336,-0.0797527375762312,"Up"
"ACSL4",0,0.746964212571775,-0.126795948087254,"Up"
"STXBP5",0,0.589558045941883,-0.217714307012084,"Up"
"KLF7",0,0.639919453316529,-0.137700025807723,"Up"
"DIP2B",0,0.64939377947575,-0.154274285366453,"Up"
"TREML2",0,1.20637408496938,-0.0123611638015451,"Up"
"CHSY1",0,1.14903160956246,2.47428909583292e-05,"Up"
"C16orf72",0,0.776764848139419,-0.0591078328874293,"Up"
"RHOB",0,0.765934076632384,-0.111060625892562,"Up"
"RNF141",0,0.779383480296807,-0.251058935299106,"Up"
"PPP1R3D",0,0.799072385820332,-0.0528406704574458,"Up"
"KLRB1",0,-0.780478166125185,0.296556435302618,"Down"
"RNF13",0,0.653140188164025,-0.1276641000971,"Up"
"NFKBIZ",0,0.839218306686114,0.0351424327529584,"Up"
"CPEB4",0,0.978339104336325,-0.015364074666727,"Up"
"GPAT3",0,1.11642215680552,-0.262333829410871,"Up"
"NAIP",0,1.24084025862399,-0.116798903145818,"Up"
"KIAA0232",0,0.717257622370791,-0.094176812402706,"Up"
"BMP2K",0,0.642416423913129,-0.037911924651187,"Up"
"NSUN7",0,1.28001495944404,0.1153216347071,"Up"
"RUBCNL",0,0.985261732426815,-0.108185914252292,"Up"
"CHI3L1",0,1.12193941996343,-0.395657452321352,"Up"
"GTF2IP4",0,0.811414999203071,-0.122184328236117,"Up"
"IFNAR1",0,1.02958963610617,-0.0557518572112343,"Up"
"ROPN1L",0,1.22066882003822,-0.306838147006295,"Up"
"DTX3",0,-0.757439036966388,-0.0162120762293183,"Down"
"UHRF1BP1L",0,0.723833783443575,-0.0833711882651489,"Up"
"RALGAPA2",0,0.782465459293284,-0.0466685176147816,"Up"
"RPL31",0,-0.997117835605718,0.12338965524776,"Down"
"TGFA",0,1.36090944782831,-0.122404495873816,"Up"
"SOCS3",0,1.84444224854531,-0.0427054377564433,"Up"
"GPR27",0,1.61135793185932,0.237185041353792,"Up"
"ZFP36L1",0,0.93269507221193,-0.00644746631066617,"Up"
"ECE1",0,1.15050272878415,-0.121360252934206,"Up"
"SIGLEC9",0,1.03097028801548,-0.147832074735648,"Up"
"MBOAT2",0,1.2394519398593,0.0375067928267052,"Up"
"RPS15A",0,-0.686527508534783,0.2710172446266,"Down"
"PHF21A",0,0.839574095516849,-0.0302236771590039,"Up"
"ZNF217",0,0.60032443432472,-0.0516725224895707,"Up"
"ARID3A",0,0.961494131971379,-0.107371030347513,"Up"
"MCTP2",0,0.841333618852391,-0.0458147473056032,"Up"
"RNF24",0,1.27224321001864,-0.0077256924722322,"Up"
"GK",0,1.05055326645349,-0.148395161958434,"Up"
"KIF1B",0,0.840482299872017,-0.0686230688730047,"Up"
"MOSPD2",0,0.841860889234038,-0.0812372795838749,"Up"
"HIF1A",0,0.670873793316708,-0.156215357427231,"Up"
"RPS27",0,-0.605859758463206,0.232775941981869,"Down"
"KLHL2",0,1.06222541180866,-0.123180649924592,"Up"
"NLRP12",0,1.15278888123798,-0.108200521926085,"Up"
"HIP1",0,0.884086025911683,-0.161201507987361,"Up"
"CPEB2",0,0.65821264173275,0.350108988023728,"Up"
"SOS2",0,0.726455080789802,-0.0880676995535197,"Up"
"DOK1",0,0.653976789853149,-0.00680094590181746,"Up"
"ATF6",0,0.762602772479992,0.0545395554825969,"Up"
"DNAJC3",0,0.81235357185743,-0.096931721854272,"Up"
"ZSWIM6",0,0.747643827164318,-0.0133887941704174,"Up"
"RPL9",0,-0.792547723320927,0.220391983675317,"Down"
"MKNK1",0,0.997562172362022,0.0509804609657172,"Up"
"ATXN1",0,0.615213258720285,-0.00409504329134069,"Up"
"FAM157B",0,1.57294034820714,-0.275403373129063,"Up"
"KDM3B",0,0.589694339575172,-0.104006146506061,"Up"
"EXOC6",0,0.7241116363662,0.0111814898049163,"Up"
"FAM126B",0,0.933806758439458,0.0516123333144352,"Up"
"RNF149",0,1.05553156520486,-0.15931391278998,"Up"
"SLC2A3",0,1.40735575630012,0.00896703170901869,"Up"
"FCAR",0,1.53234256772412,0.0381900062822842,"Up"
"KBTBD7",0,0.780106911500829,0.244070609340859,"Up"
"FCGR2A",0,1.36627208311993,0.00229650394812531,"Up"
"WDFY3",0,1.26280136801519,-0.200369035726138,"Up"
"SLC12A6",0,0.816950706439539,-0.153920819375478,"Up"
"GAB1",0,0.683134421357921,-0.183265351203453,"Up"
"BCL2L11",0,0.760016182997782,0.0817713867843031,"Up"
"ALOX5",0,1.0464418541254,-0.167955075150276,"Up"
"ARHGEF11",0,0.887784047236199,-0.153568478560167,"Up"
"CAB39",0,0.639332849026898,-0.0950936576842398,"Up"
"FAM157C",0,1.27103353988566,-0.331147898696858,"Up"
"RTN3",0,1.13579242836171,-0.0735411062670863,"Up"
"RAB27A",0,0.608775642842578,0.125027273507075,"Up"
"NUAK2",0,0.876164257722541,-0.0891832076540755,"Up"
"SERPINB1",0,0.90598263887526,0.0971860974941388,"Up"
"LBR",0,0.801617364616799,-0.0712329204505364,"Up"
"PPP1R3B",0,1.39895720737112,0.00242327679500498,"Up"
"SIGLEC5",0,1.32574208081574,0.0395519088803544,"Up"
"CLIP1",0,0.646260248529986,-0.0773543628969549,"Up"
"LTBR",0,1.08276323830941,-0.139355968073603,"Up"
"SPOPL",0,0.644510904990602,-0.0648863643905448,"Up"
"NLRC4",0,1.13878244531151,0.0746948491284138,"Up"
"FKBP1A",0,0.734439262983653,-0.0785703843124832,"Up"
"SULT1A1",0,0.8581671833407,-0.151831993749455,"Up"
"PRICKLE3",0,0.665712316156219,0.309938156334421,"Up"
"CARD6",0,0.84676528591002,-0.261060402073602,"Up"
"PTPRE",0,0.631361529597218,-0.142379740775143,"Up"
"LIMK2",0,1.11699159892955,-0.108821532748858,"Up"
"ATP6V1C1",0,0.656076655054711,-0.150519536185385,"Up"
"CD55",0,1.12743340097286,0.125815478423047,"Up"
"TRIB1",0,0.998558130226503,-0.112122250612027,"Up"
"DISC1",0,0.734202044658052,0.0156813155703457,"Up"
"TLE4",0,0.630586402221321,-0.110808114224438,"Up"
"PLSCR1",0,1.3560274411328,0.0808078532482295,"Up"
"BCL10",0,0.628233478374213,-0.0649135307361748,"Up"
"SIRPB1",0,1.20973144122131,-0.00525178485114353,"Up"
"RPL34",0,-1.09285846791284,0.249657708696952,"Down"
"P2RY13",0,0.923179200549307,-0.00142970745215276,"Up"
"USB1",0,0.900934642154952,-0.0245295599429545,"Up"
"DUSP3",0,0.759150657202197,-0.0219321135977841,"Up"
"PRKCQ-AS1",0,-0.628835789795818,-0.00601619477633619,"Down"
"SGK1",0,0.647649714599039,-0.223537603366105,"Up"
"PTTG1IP",0,0.723524440710051,0.0304066513941104,"Up"
"AATK",0,1.13865207056577,-0.181808139509838,"Up"
"CHST15",0,1.19545985572258,-0.0866901419845956,"Up"
"CR1",0,1.36372758321218,-0.323720091592937,"Up"
"TLR4",0,1.026410390777,-0.0471310603735819,"Up"
"MAP3K5",0,0.617236422963792,-0.11844149822739,"Up"
"TNFSF14",0,0.89035222329793,0.0568576507515957,"Up"
"MAML3",0,0.858190706325955,-0.0574112351783347,"Up"
"PFKFB3",0,1.56856786066639,-0.0896550351388168,"Up"
"CCR1",0,1.16181349556715,-0.15510409989433,"Up"
"KIF13A",0,0.959817764381893,-0.12398055116291,"Up"
"PICALM",0,0.819619740751333,-0.0904011489645598,"Up"
"C1RL",0,0.935740734160255,-0.112211644222651,"Up"
"MEFV",0,0.96440001319321,-0.172911403051586,"Up"
"CYRIA",0,0.708918455009511,0.0681063946301119,"Up"
"RPL17",0,-0.733192656433399,0.175309698209494,"Down"
"RPL11",0,-0.641712127163373,0.14914382319559,"Down"
"IL1R2",0,1.2296483525124,0.0239355780431127,"Up"
"AGTPBP1",0,0.6601448352526,-0.0344974801841342,"Up"
"KIAA0040",0,0.802445598729582,-0.0311875526223098,"Up"
"DOK3",0,1.3423705151984,-0.127112858734346,"Up"
"SP1",0,0.649011268596872,-0.0650555261051817,"Up"
"SLC22A4",0,1.39780091868689,-0.140258438798954,"Up"
"CXCL16",0,1.06293426966296,-0.00344814648594483,"Up"
"ACP3",0,1.14104874095241,-0.0473947971085651,"Up"
"FNDC3B",0,0.71740569695734,-0.175430548654941,"Up"
"ARL8A",0,0.683859878534828,-0.0779220396253502,"Up"
"IQSEC1",0,0.704080306288954,-0.0509622308945019,"Up"
"GBP4",0,-0.689545307821286,-0.0870293726013216,"Down"
"QKI",0,0.612668826316266,-0.0499853216111719,"Up"
"LILRA5",0,1.76955294483778,0.176876666007369,"Up"
"RAB33B",0,0.591216746624625,0.0243680590926214,"Up"
"PELI2",0,0.779054432967309,0.00206850321086804,"Up"
"ICAM1",0,0.72900808652045,-0.251434863578907,"Up"
"ADGRE3",0,1.17527892308843,-0.132339160252679,"Up"
"GRAMD1A",0,0.961575088482589,-0.0382774668271031,"Up"
"ACSL1",0,1.78494860119256,-0.0303332430724392,"Up"
"FBXL5",0,0.947224625441654,-0.0436166090918704,"Up"
"VDR",0,1.05165620225552,0.074833652504549,"Up"
"SH2B2",0,1.20573320658329,-0.123050852220716,"Up"
